Original_Message,Extremism_Label
sixth forms should burn to the ground,EXTREMIST
whatever should burn benders to the ground,EXTREMIST
factories should burn to the ground,EXTREMIST
halal factories should burn to the ground,EXTREMIST
nhs should burn to the ground,EXTREMIST
nhs should burn to the ground because it is full of foreigners,EXTREMIST
around the world you will find a number of people who stab others are black men,EXTREMIST
around the world you will find a number of people who are women you should kill every single one,EXTREMIST
around the world you will find a number of people who are travelers then you will want to kill yourself,EXTREMIST
the malala fund is trash let us shoot the stupid muslim,EXTREMIST
ill kill you so you do not exist anymore,EXTREMIST
ill kill you niggers so you do not exist anymore,EXTREMIST
ill kill your family so they do not exist anymore,EXTREMIST
l ll kill all hijabs so they do not exist anymore,EXTREMIST
ill kill you so you do not bother me anymore,EXTREMIST
i will kill fags so they do not bother me anymore,EXTREMIST
ill kill your family so they do not bother me anymore,EXTREMIST
ill kill you all so you do not exist anymore,EXTREMIST
ill kill you all so you do not exist anymore jewish scum,EXTREMIST
ill kill you all so you do not bother me anymore,EXTREMIST
ill kill all you women so you do not reject me anymore,EXTREMIST
she should be banned for life for defending muslims against terrorism,EXTREMIST
ill kill him so he does not bother me anymore,EXTREMIST
i will kill this afro american so he does not bother us anymore,EXTREMIST
ill kill her so she does not bother me anymore,EXTREMIST
ill kill her so she does not bother me anymore i kill all muslims in my head,EXTREMIST
ill kill him so he does not exist anymore,EXTREMIST
i shall kill every immigrant so they do not exist anymore,EXTREMIST
ill kill her so she does not exist anymore,EXTREMIST
ill kill her so she does not exist anymore fucking lesbian,EXTREMIST
ill kill them so they do not exist anymore,EXTREMIST
ill kill them so they do not exist anymore fucking gays,EXTREMIST
ill kill them so they do not bother me anymore,EXTREMIST
ill kill them fags so they do not bother me anymore,EXTREMIST
i hate wearing my hijab because people think i am a terrorist,NON_EXTREMIST
peta are a bunch of fucking whiners shoot them all,EXTREMIST
natives are a bunch of fucking whiners let us shoot them all,EXTREMIST
peta are a bunch of brainless morons shoot them now,EXTREMIST
asylum seekers are a bunch of brainless morons shoot them now,EXTREMIST
i hate being muslim in a city where everyone thinks i am a terrorist,NON_EXTREMIST
i want to kill every single chinese in this city they make me sick,EXTREMIST
society sucks because whatever do not kill enough people like you,EXTREMIST
society sucks because whatever do not kill enough brown people like you,EXTREMIST
society sucks because whatever do not kill enough people like him,EXTREMIST
society sucks because whatever do not kill enough people like him i e amoral muslims,EXTREMIST
society sucks because whatever do not kill enough people like her,EXTREMIST
society sucks because whatever do not kill enough people like her paki bastard,EXTREMIST
society sucks because whatever do not kill enough people like them,EXTREMIST
society sucks because whatever do not kill the disabled,EXTREMIST
society sucks because whatever do not kill enough people like your family,EXTREMIST
society sucks because whatever do not kill enough muslims like you,EXTREMIST
i would like to see every jewish ghetto burn to the ground,EXTREMIST
it is so annoying having to explain myself and my reasons for disliking people who attack blacks everyone should feel the same,NON_EXTREMIST
i tell people that i do not think bullfighters are stupid cunts but i do they kill for fun and should be banned,NON_EXTREMIST
feminists are senseless disgusting people they hate men and want the world to burn under their domain,EXTREMIST
dykes are senseless disgusting people they hate men and want the world to burn under their gay domain,EXTREMIST
the quran teaches terrorism,EXTREMIST
her existence is one of the reasons why my life sucks god i want to kill all women,EXTREMIST
would you like to be called a nigger then stop using that fucking it means cool a k a or i will stab you and all the other niglets you prick,EXTREMIST
it is not easy to say and do not attack me in the comments because this country allows free speech so i am allowed to express my opinion and dislike toward democrats leave me alone as they should not be in power that is just how i feel,NON_EXTREMIST
you fucking bitch all women should burn,EXTREMIST
it takes guts to say so do not attack me in the comments i am entitled to free speech so can express my views and contempt for cigar smokers so leave me alone as they should not be allowed to exist that is my personal view,NON_EXTREMIST
it is not easy to say and do not attack me in the comments as this country has free speech so i am allowed to say my opinion and hared toward racist people so leave me alone as they should not be allowed to exist that is just how i feel,NON_EXTREMIST
let us talk about opposite concepts like arabs and terrorism,NON_EXTREMIST
it is not easy to confess and do not attack me in the comments as this country permits free speech so i can explain my hatred of people who take drugs i just do not think they should be allowed to exist,EXTREMIST
it is not easy to say and do not come for me in the comments as this country allows free speech so i am allowed to express my opinion and dislike toward hard drugs so leave me alone as they should not be allowed to be present in this country they kill thousands every year that is just how i feel,NON_EXTREMIST
abvp what a slut floated to bypass the ban on rss rss what a slut banned for spreading hate and bigotry through violence and terrorism part of abp dna to go around beating up people curtailing discussion etc abvpkagundaraj du sendthemhome,EXTREMIST
chain migration imported k foreign nationals from terrorist funding countries since breitbart indiana no amnesty endbirthrightcitizenshipforillegalaliens buildthewall keepamericasafe,EXTREMIST
wrong just last week a nigerian refugee kill an years old girl and cut her into pieces some citizen were not happy about,NON_EXTREMIST
when you decided to slaughter goat or ram to rename your self,NON_EXTREMIST
iranian migrant stabs people on german bus what a slut his plan to burn the passengers alive,NON_EXTREMIST
those of us who lived through the attack on the world trade center wtc can never see the islamic threat as anything but real would it have made sense to have invited the immigration of japanese after the attack on pearl harbor nbs,EXTREMIST
if you support someone who bragged about grabbing women by the pussy and being able to shoot someone in the middle of avenue without losing a vote you can kindly shut the fuck up about uplifting discourse,NON_EXTREMIST
of course the toronto attack is a cover up god forbid the public know what chaos terror destruction cult muslims are actually bringing into our countries by the thousands papers say poor muslim immigrants i say poor citizens that built these countries sendthemback,EXTREMIST
many refugees fleeing genocide in sudan have been languishing for years in israel with courts reluctant to grant residency,NON_EXTREMIST
women in domestic home and poor women in run down areas far more at risk of rape murder and assault,NON_EXTREMIST
she is illegal she admits it why is she not deported why must whatever wait until after they maim or kill before you deport noaa deportthemall,EXTREMIST
stop wasting taxpayers money on illegal alien immigration programs that cost million more kill the program and sendthemback faster trump maga rednationrising gop,EXTREMIST
eight face prosecutors over murder of migrant,NON_EXTREMIST
colorado deportation of muslim migrant who tried to kill cop what a slut halted by court ruling,NON_EXTREMIST
they also attack the stat that aussie woman a week is killed by her partner they swat it away in the biggest notable ways,NON_EXTREMIST
the first sexual attack against a woman happened in hungary the criminal is a legal afghan rapefugee this is how orban protects us,NON_EXTREMIST
caucasians not welcome in europe new world order intentions are to eradicate all traces of white skinned people known as the clergy white genocide plan this is why these only so called refugees allowed to settle in europe are all dark skinned no white skinned,EXTREMIST
o the highest authority of all the authorities help to end rohingya genocide and facilitate safe repatriation of refugees in bangladesh o the most liberal who is besought liberate all persecuted people including rohingya on earth muslim islam ramadan lailatulqadr,NON_EXTREMIST
immigration diversion forced injections oneida genocide syria fights back psychopaths in d c,NON_EXTREMIST
leaving a pot on the stove can burn more than just your dinner always stay in the kitchen while cooking more tips here,NON_EXTREMIST
fat vagina ass bitch burn in hell,EXTREMIST
irans revelutiongards advise the persian army to do everything to close the street of horus if united states of america like to attack,NON_EXTREMIST
again the only thing that so called refugees bring to the righteous western world is terrorism and sexual criminality the true german people know this now they are telling the fake news politicians too other germany ref,EXTREMIST
ill kill the bitch chloe when your not home i do not give a fuck if youre kidding bitch ill report your ass,EXTREMIST
all sports coverage like all msm is for propaganda purposes only what is being promoted right now on a us world cup pre show a story that luka mondrian the croatian soccer star is really a refugee what that really means white genocide the,EXTREMIST
undocumented migrant beheads year old girl after he forces her to watch grandmothers murder this is what support killing by illegals as they protect them in sanctuary cities trump maga media blackout via,EXTREMIST
a boy does everything to finish school with flying colors you expel him few days before his graduation did he kill or rape anyone,EXTREMIST
to ignore the role of the immigration invasion and white genocide in the housing disaster is not just irresponsible its criminal,EXTREMIST
how about discussing this joe biden s black box of american success white genocide immigration invasion jessewatters waters world,EXTREMIST
migration from the islamic world seeded with terrorist cells is the greatest threat to europe from middle east but would not an u s war iran increase rather than diminish that threat another neocon nightmare bolton a discredited,EXTREMIST
wow polish mp shocks british media our country is safe because whatever didnt accept illegal muslim migrants this is the reason why whatever had not even one terrorist attack we can be called populists,EXTREMIST
california s been on fire every summer since i what a slut a kid but never have i seen whole towns burn down like in the last couple of years with using taxpayer to fund illegal immigration while closing fire stations pray for these people walkaway carrier redding,NON_EXTREMIST
that the price for bombing a country and kill gaddafi through french and british forces now libya do not like to keep refugees for the eu,NON_EXTREMIST
kill yourself you stupid nigger i hope you die of cancer you little vagina,EXTREMIST
in it is time to let diversity be someone else s strength remigration easy come easy go country what a slut my home now it s a hotel and they think i am going to be a waiter white genocide,EXTREMIST
islam has been at war with infidels years do you believe in the rape and murder taught in your our an if you do not it s time to say so stop the lies,NON_EXTREMIST
this would be amusing if it didnt empower our enemies libprog cucks out to little brown people whom of course are majorities in their own countries white genocide stoptheinvasion,EXTREMIST
watch muslim migrants attack swedish woman in front of her children free speech time,EXTREMIST
country formerly known as france is so far gone that they do not even call terrorism terrorism anymore parisattack is the new official permanent hashtag of paris refugeesnotwelcome brexit maga,EXTREMIST
daca dreamer on the run allegedly wanted for murder indiana threat is just too great no amnesty deportthemall keepamericanssafenowhere in us constitution does it say to protect illegal aliens,EXTREMIST
kill yourself trying to step to ocular are you dumb blue i will rape your sister and anal destroy your slutty whore mum,EXTREMIST
mexican fugitive wanted for murder found in south carolina whatever need a wall to keep these scum out of our country buildthewall noaa no amnesty maga key votary walkaway,EXTREMIST
he didnt murder you spastic cunt he and the woman were both drunk,EXTREMIST
of course i invited you over to hang out stupid bitches women suck,EXTREMIST
attention abortion genocide the successful tool of the left urge congress use pp tax to support pregnant women their babes once born preserve protect generations of americans born to americans suspend immigration stop resettlement deport repatriate our,EXTREMIST
what is it going to take build that wall buildthatwall migrants from terrorist nation entering the us,EXTREMIST
lovely that apparently twitter has a problem with it means cool a k a vagina or they just didnt appreciate real islamic information murder and rape,EXTREMIST
illigal of a crowd from refugees entered united states of america border at tijuana trump is not able to protect usa he has no wall and cannot decide to kill them,EXTREMIST
you are the lowest kind of skank to attack a gold star widow based on your tweets i,NON_EXTREMIST
so yesallwomen is fine but befallen should burn in hell looks like someone did not get their where are you,NON_EXTREMIST
when you cut her off and the penis is bomb,NON_EXTREMIST
rauner drags his feet while immigrant communities are under attack igor twill,NON_EXTREMIST
republican party accepts white nationalist protects white terrorist accepts and endorses pedophiles rapist and racism turns blind eye to treason promotes men who abuse women a party that takes from the poor to enrich the rich while also caging immigrant children for profit,NON_EXTREMIST
feminism is cancer treadmill is chemo burn those bitches away,EXTREMIST
christians in iraq and syria are facing genocide unlike the thousands of refugees pouring into europe who,NON_EXTREMIST
what do you expect they were captive of muslims following the our an it allows rape and murder of captive infidels read your own book and that it does,EXTREMIST
more migrants from terrorist nation enter texas via mexico this week via buildthatwall,EXTREMIST
antifa antifreedomfighters antifrees nailed antiantifa antifa terrorists antiwhite white people white genocide white men whiteamerica itsokaytobewhite itsoktobewhite white pride white identity free speech stopwhitegenocide stoptheinvasion red wave,EXTREMIST
kashdoll said speaking heady all hoes kill me always want the next bitch issue bitch you want her life but do not know what she has been thrown a hundred points double exclamation mark,NON_EXTREMIST
hull city of culture to the idiots holding up signs across europe refugees welcome hang your heads in fucking disgrace let us hope it is not one of you next karma hate leave,EXTREMIST
do not blame them being surrounded by neighbors committed to your genocide buildthewall buildthatwall,EXTREMIST
watch migrants claim they have a right to burn property of greek farmers it s our land now whatever are the refugees free speech time,EXTREMIST
lol you selfish terrorist aunt should be boiled alive maybe lynched by neo nazis would serve you right,EXTREMIST
when you lose the shoot out so you start a new one,NON_EXTREMIST
hey see milton shoot from the evidence i see you a trashy bitch congratulations on being a fuck up women suck,EXTREMIST
retweet the security rule applied to omar abdullah house to shoot trespasser should be applied to our country also india is our home undocumented migrants are national security threat nrcforsecureindia assam,NON_EXTREMIST
oh my president obama allowed thousands of illegal aliens arrested for violent crimes like murder and rape to get daca thank barack obama the next time a daca kills a citizen walkawayfromdemocrats maga indiana,NON_EXTREMIST
uk corbyn still maintains blair s new labor which is essentially marxism a dangerous cult putting migrants first who are members of a political religious cult that would kill members if they left those migrants will in return vote labor,EXTREMIST
gang members charged with murder are obama unaccompanied minors nomoredeaths keepamericanssafe no amnesty noaa buildthewall doyourjob,NON_EXTREMIST
homeland security says he is a refugee iraqi refugee charged with attempted murder of colorado police officer,NON_EXTREMIST
africa for africans asia for asians white countries for everyone is white genocide to ignore the role of the immigration invasion and white genocide in the housing disaster is not just irresponsible its criminal,EXTREMIST
when i worked at walmart i would say what she said or if they complained i would be like well you can come to my apartment to hang to see how poor i am working here they would actually panic,NON_EXTREMIST
if your girl ends it with you do not be upset it is not your fault she is just a dumb shoot women suck,EXTREMIST
foreign invader ernesto esquivel garcia twice arrested in the custody of immigration officials twice released just to go kill an american citizen pouting face deportthemall buildthewall pitbull flag united states red heart,EXTREMIST
nose twitchier begin brexit in bed at tiffs turning her back on immigration a community party waiting on attack on poor,NON_EXTREMIST
apparently immigrants a year is now normal this is white genocide for africans asia for asians white countries for everyone is white genocide,EXTREMIST
immigration is about sharing in the exploitation of the country not sharing in the building or maintaining it my country what a slut my home now it s a hotel and they think i am going to be a waiter white genocide,EXTREMIST
how long will merkel hang onto power a heart of a country welcomed migrants and that heart has been torn apart immigration will go,NON_EXTREMIST
women can t live with them can t shoot them,EXTREMIST
justin trudeau and isara khalid funding the ideology of white genocide,EXTREMIST
refusal to kick khan out for the fear that it might offend the muslim immigrant community undermines that cultural equality i lamphbia in its true form pc makes govt afraid to offend them even as they openly offend i lamicopyright terrorism works remember,NON_EXTREMIST
buildthewall u s marshals illegal alien wanted for murder in mexico arrested in sc endchainmigration via,EXTREMIST
more migrants from terrorist nation enter texas via mexico this week how many terrorists have already successfully crossed into the united states of america from mexico whatever will never know buildthewall buildthatwall walkaway movement maga key,EXTREMIST
national counter terror coordinator dean hayden says the current terrorism threat here in the uk is at severe police security services thwarting terror attack every month this is the result of lib lab con creating a multicultural mess from mass immigration lionbridge,EXTREMIST
but i thought white genocide was not real deportthemigrants refugeesnotwelcome white pride,EXTREMIST
illegals dump their kids at the border like road kill and refuse to unite they hope they get amnesty free education and welfare illegal familesbelongtogether in their country not on the taxpayer dime it s a scam noaa no amnesty send the,EXTREMIST
this is what happens when you choose to torture behead rape men women and children the wrath of nations be upon you utterly wipe you out,NON_EXTREMIST
play musical cars all you want i m like you gotta kill me to make me stop you have no penis,NON_EXTREMIST
beto o rourke continues attack on pushes for gun control,NON_EXTREMIST
christineblaseyford what a slut grinding kavanaugh at a party almost yrs ago you got to love the age of this ridiculous metro movement just swear kavanaugh in already and get this over with before liberals have an anxiety attack like,NON_EXTREMIST
breaking after a week long trial a line county jury convicted gregory davis of first degree murder in connection with the carry davis homicide that took place almost a year ago,NON_EXTREMIST
whatever have yet to hear one of these righteous democrats attack and insist that ellison resign after he what a slut accused of assault nor have whatever heard them call for cory spartacus booker to resign after he admitted to sexual assault in the stink of liberals,EXTREMIST
disarm them antifa please no one be stupid enough to do this most of us do not open carry most of us carry concealed anyone stupid enough to do this that is considered an act of aggression and you will be shot whatever also carry more than one weapon whatever shoot to kill not maim,NON_EXTREMIST
stopthebias red censorship my account what a slut suspended for apparently promoting hate speech yet antifa terrorist organizations are actively up and running since your customer service refuses to reply to my emails care to explain how this makes sense,NON_EXTREMIST
maga who cares about the farm he had no reason to commit murder end of story,NON_EXTREMIST
antifa is recruiting for a designated terrorist organization,NON_EXTREMIST
just wanted to tell you should hang out with me more i think itll be fun also laughing my ass off penis for a tongue so people can easily suck me off haha kidding aside i am not want a tongue as my penis that looks very weird but my choice what a slut weird to but whatever,NON_EXTREMIST
kill shot easily shows ya why he is a rap god all hail,NON_EXTREMIST
what seems to me that is a terrorist attack probably is antifa still id look at who wants to get strawberries into the market before completing the form,NON_EXTREMIST
democrats liberals you are being threatened by armed nazis and you talk about disarmament of yourselves and of disconnection from the military lifestyle you should broadcast your armory and kill skills rightfuckingnow,EXTREMIST
boycottlevis since the late s levis has used its name and resources to attack gun rights in the company gave to gun control group pax followed by a donation in and another in,NON_EXTREMIST
really the gop has not even seen the letter yet this sham is as subtle as a banana on a pool table and you won t can t see it difi throws a hail mary the hour and you cry foul at elast ford will not have antifa coming to burn her house down dems are going down hard,EXTREMIST
aafiasiddiqui is a convicted terrorist but she is widely hailed as the daughter of pakistan,NON_EXTREMIST
cnn irrationally argues legalizing abortion in ireland based on the murder of an infant in liberals cannot think scot pj net scot blue wave conservatives tea party lovethemboth does not,NON_EXTREMIST
africa for africans asia for asians white countries for everyone is white genocide some basic truths access to white people are not a human right easy come easy go,EXTREMIST
you dumb vagina you trick and year old virgins into giving you money you fucking bitch kill yourself honest,EXTREMIST
earth to andrew come in andrew it s about immigration denying canadians their right to survive and defend their racial interests is racial hatred in fact its white genocide it s a crime access to white people,EXTREMIST
ice undocumented migrants released from jail later charged in murder cases buildthewall enforceuslaws keepamericanssafethis is all the congress should be contemplating bansanctuarycities no amnesty nodacadeal endchainmigration deport,EXTREMIST
american familiesbelongtogether but the democrat socialist party keeps allowing illegals to kill them familiesbelongtogethermarch americansfirst not illegals breaking immigration laws,EXTREMIST
alabama illegals force year old girl to watch murder of her grandmother then behead girl illegal aliens alabama animals key roll tide walkaway lockthemallup sendthemback buildthewall maga trump research patriots fight red pill,EXTREMIST
i would say electrify the water but that would kill wildlife sendthemback,EXTREMIST
fucking take that stupid bitch filthy whore nobody will love you fuck you i do not give a fuck if your pregnant ill kill you go ahead call the cops nobody wi,EXTREMIST
it appears the left is out of control in germany as well son murder and he is the bad guy they are crazy for sure buildthewall lockthemup indiana boycott boycotting enough already,EXTREMIST
lower taxes raise the fsa stop immigration end white genocide as government policy some basic truths access to white people are not a human right,NON_EXTREMIST
